id_loan,monto_asignado,motivo
623d7643-18ca-4349-8870-65d11070c376,816.72,Reenganche (excluido por flg_last_loan_in_chain)
1ad217c3-4ebb-4f8e-90a9-b726318b1c27,0.0,Reenganche (excluido por flg_last_loan_in_chain)
8ecf2e09-809a-4561-91de-1cf76622b533,1110.92,Punto ciego dayslate (bug 9)
b90cedb0-6095-42b3-8ca1-c06a814e19c3,951.26,Punto ciego dayslate (bug 9)
00e827b1-173b-4e5e-9f8e-8f9e7f0a1648,1309.45,Punto ciego dayslate (bug 9)
aec66455-634b-40ab-b48e-6647f3c02d46,214.8,Punto ciego dayslate (bug 9)
1f1390ca-eeff-49d5-a89c-cc8bdc64426e,431.9,Punto ciego dayslate (bug 9)
a1b89c47-ad2c-4976-9b08-f75bef4d6c3b,3279.96,Punto ciego dayslate (bug 9)
cbfb550f-f014-4484-b54e-9fc16c17c731,2480.03,Punto ciego dayslate (bug 9)
e79bd9de-52f0-49ea-b778-9a7ad94e2bc9,1225.34,Punto ciego dayslate (bug 9)
738d85c0-074d-41b8-9cae-bfa8de1c0ade,1093.41,Punto ciego dayslate (bug 9)
69007e0a-d5a7-454f-92ba-bc12e3acc858,211.92,Punto ciego dayslate (bug 9)
d22af141-6ebe-4674-adf2-f9877e328f38,348.81,Punto ciego dayslate (bug 9)
0898772a-1cd3-4568-b48e-756101257604,282.9,Punto ciego dayslate (bug 9)
8376d703-a966-444a-a918-8908b3895d9e,242.21,Punto ciego dayslate (bug 9)
94330806-46bb-4571-9dc1-5a7cc5f50c80,833.74,Punto ciego dayslate (bug 9)
96567810-2ae9-4f74-8282-da58df3b5b69,1628.8,Punto ciego dayslate (bug 9)
7bd7fc53-4a9e-4fa1-95f4-12f9b142a506,1922.95,Punto ciego dayslate (bug 9)
90c6fe27-7dc6-49e9-83ba-797233f52f74,831.68,Punto ciego dayslate (bug 9)
2dec751e-087f-4801-b9d9-3c05fac94fde,2427.93,Punto ciego dayslate (bug 9)
f4326afc-3e1b-49e9-b209-6375d2b21990,334.28,Punto ciego dayslate (bug 9)
