"id_loan","saldo","motivo"
"65d8cbc7-ed41-47fd-a033-a26960dfeb69","1036.0","Sin asignar"
"c6812550-e8de-41b5-84c7-dd53e93eaf46","1132.87","Grupo de control"
"cf2aad7c-9764-49b3-ac12-73c944411c7a","1545.0","Grupo de control"
"f4874765-e1d1-4fb5-88e7-86a3aa6bf2eb","253.55","Sin asignar"
"ff37e9df-5c6e-4354-b6f3-5f7a151b520c","383.17","Sin asignar"
"e7a3c302-187b-4660-9305-0cdd41fb2118","248.4","Grupo de control"
"9e8fa575-9314-44f6-8df5-1a1ffd3824f3","311.36","Sin asignar"
"da8da8d8-811d-4c1d-ba38-f062e1c2d13f","1705.85","Grupo de control"
"e070cfc8-fd50-4be8-89e2-394a0b65ce3b","1610.67","Grupo de control"
"e6c6befc-3b02-49bd-b050-333edd32a062","4232.58","Grupo de control"
"ec81f879-949e-494b-8e2f-e9e42f06799b","880.99","Grupo de control"
"f97022c5-3d29-4c4c-8556-a0f5baf2cf40","1386.72","Grupo de control"
"fbd2fff9-85b0-4920-8a8e-7c299638a35f","873.68","Grupo de control"
"8b55ef1d-3821-4e52-b671-1b761fac197a","270.48","Grupo de control"
"2552a4b5-7ba0-45af-a4bf-2dc507c2adca","971.13","Grupo de control"
"3a6864da-f5c0-40f0-85ca-b708d63ecabc","1026.96","Grupo de control"
"46f5ad6a-939e-44d3-a5ef-a284adb011b0","490.64","Sin asignar"
"5d05dcf1-af20-4c12-b688-19749e0dccf3","221.23","Sin asignar"
"d82efa93-904b-4990-9138-50b67ae8f0a3","954.76","Grupo de control"
"e1a28ed9-ad5b-49a6-a5dd-aa34e2243f26","970.9","Grupo de control"
"ef8b60f6-4b58-4ddb-a4be-44d2c41e91f1","8772.3","Grupo de control"
"133480ce-54ab-4240-93d6-6c19d3ce05e7","224.86","Sin asignar"
"e3cfc282-6043-493d-b65a-cf7813049a63","1772.7","Grupo de control"
"281ffad1-ff4f-4bcd-b375-27690f09b309","1205.43","Grupo de control"
"5e1fa7dc-f081-42f6-a84e-6ed33d3215fe","283.15","Sin asignar"
"6f95f226-1677-49d5-a6b4-edb48fb2b47a","1631.32","Grupo de control"
"719c7140-befc-4cbd-985a-574ef3dc21fa","2431.26","Grupo de control"
"9ae836d0-5614-4873-af4a-d11b20898dfe","329.77","Sin asignar"
"f821d32e-7922-4565-aaaf-06daf350a04f","771.67","Grupo de control"
"2f6dca81-f021-475d-b85c-233c8180ce1c","4148.22","Doble producto en otra fase"
"cfa367ba-dc8c-4da9-8ee0-9f6c641ea667","1179.95","Sin asignar"
"1692a0c1-9aaa-470d-a25a-fcb9284082c9","238.7","Sin asignar"
"066ff1dd-f528-4080-a1f7-c603d99c2d19","1841.59","Grupo de control"
"71551deb-2123-4e96-98c6-8ca5ab440c4a","587.94","Grupo de control"
"9b2fe3fa-941f-4e57-980a-3f8a75df58cb","747.5","Doble producto en otra fase"
"e28d9b27-6911-45a1-9f24-d9aec4062e16","166.97","Sin asignar"
"ebc30183-68ca-4687-bc15-21b975dc60c9","2048.27","Grupo de control"
"f6248612-76c2-4312-b1ea-34d2f20205b9","826.62","Sin asignar"
"f831b41f-44e0-4127-be54-49e783b8696b","771.82","Doble producto en otra fase"
"6f8362fb-0c09-45e2-848f-b050a1e4254c","237.63","Sin asignar"
"06091409-def4-48d0-b259-07bce9cab487","772.16","Grupo de control"
"19abe740-745b-435e-9c4c-d5dea2a4731c","2981.52","Grupo de control"
"6050abbe-0810-4447-b1c9-3d4ca4e06bd5","3236.24","Grupo de control"
"81e087f1-407d-4de2-ac2c-7bba62d66502","830.43","Grupo de control"
"94eef60f-86f0-4101-ba1c-17d8215804f5","1282.79","Grupo de control"
"a30a6295-a43f-4403-8c07-44f690e20754","9460.15","Grupo de control"
