"periodo","dia_entrada","avance_band","creditos","saldo_en_riesgo"
"202605","29","a. avance <10%","228","684281.77"
"202605","29","b. avance 10-40%","795","1238593.19"
"202605","29","c. avance 40-70%","504","364408.42"
"202605","29","d. avance 70%+","344","51453.52"
"202605","30","a. avance <10%","166","450521.91"
"202605","30","b. avance 10-40%","303","442036.75"
"202605","30","c. avance 40-70%","190","139060.56"
"202605","30","d. avance 70%+","195","37923.43"
"202605","31","a. avance <10%","695","2095135.65"
"202605","31","b. avance 10-40%","1306","2677615.49"
"202605","31","c. avance 40-70%","795","863637.11"
"202605","31","d. avance 70%+","770","171035.85"
"202606","2","a. avance <10%","352","1109620.71"
"202606","2","b. avance 10-40%","870","1484736.71"
"202606","2","c. avance 40-70%","564","457748.84"
"202606","2","d. avance 70%+","452","87818.53"
"202606","3","a. avance <10%","341","922790.1"
"202606","3","b. avance 10-40%","695","1251493.22"
"202606","3","c. avance 40-70%","437","345351.31"
"202606","3","d. avance 70%+","346","56786.54"
"202606","4","a. avance <10%","218","595811.51"
"202606","4","b. avance 10-40%","502","819389.7"
"202606","4","c. avance 40-70%","321","292855.52"
"202606","4","d. avance 70%+","282","43028.29"
"202606","5","a. avance <10%","290","869776.69"
"202606","5","b. avance 10-40%","668","1102250.56"
"202606","5","c. avance 40-70%","386","302225.55"
"202606","5","d. avance 70%+","300","48125.84"
"202606","6","a. avance <10%","355","1135787.49"
"202606","6","b. avance 10-40%","819","1592145.62"
"202606","6","c. avance 40-70%","526","501888.94"
"202606","6","d. avance 70%+","506","89299.71"
"202606","7","a. avance <10%","217","581015.72"
"202606","7","b. avance 10-40%","541","910020.01"
"202606","7","c. avance 40-70%","369","277088.36"
"202606","7","d. avance 70%+","329","57418.64"
"202606","9","a. avance <10%","466","1112117.32"
"202606","9","b. avance 10-40%","1122","1904938.06"
"202606","9","c. avance 40-70%","800","640500.86"
"202606","9","d. avance 70%+","673","90002.5"
"202606","10","a. avance <10%","335","733735.35"
"202606","10","b. avance 10-40%","652","925330.41"
"202606","10","c. avance 40-70%","380","271008.61"
"202606","10","d. avance 70%+","312","44969.63"
"202606","11","a. avance <10%","249","647263.43"
"202606","11","b. avance 10-40%","570","918565.96"
"202606","11","c. avance 40-70%","363","283858.19"
"202606","11","d. avance 70%+","293","42817.42"
"202606","12","a. avance <10%","215","508039.78"
"202606","12","b. avance 10-40%","562","872325.01"
"202606","12","c. avance 40-70%","358","270023.26"
"202606","12","d. avance 70%+","261","39513.01"
"202606","13","a. avance <10%","198","536820.18"
"202606","13","b. avance 10-40%","467","643410.28"
"202606","13","c. avance 40-70%","299","225805.58"
"202606","13","d. avance 70%+","259","53575.14"
"202606","14","a. avance <10%","178","483694.47"
"202606","14","b. avance 10-40%","469","779533.69"
"202606","14","c. avance 40-70%","332","241516.27"
"202606","14","d. avance 70%+","233","40781.33"
"202606","16","a. avance <10%","621","2001839.23"
"202606","16","b. avance 10-40%","1554","2740489.77"
"202606","16","c. avance 40-70%","1078","927095.5"
"202606","16","d. avance 70%+","859","123870.74"
"202606","17","a. avance <10%","255","702610.42"
"202606","17","b. avance 10-40%","559","867629.39"
"202606","17","c. avance 40-70%","412","328948.13"
"202606","17","d. avance 70%+","313","41983.41"
"202606","18","a. avance <10%","278","646183.76"
"202606","18","b. avance 10-40%","538","858084.37"
"202606","18","c. avance 40-70%","390","286406.08"
"202606","18","d. avance 70%+","315","40462.34"
"202606","19","a. avance <10%","211","631855.71"
"202606","19","b. avance 10-40%","536","812274.7"
"202606","19","c. avance 40-70%","386","280226.69"
"202606","19","d. avance 70%+","285","45837.0"
"202606","20","a. avance <10%","195","481184.01"
"202606","20","b. avance 10-40%","518","759994.16"
"202606","20","c. avance 40-70%","342","266917.39"
"202606","20","d. avance 70%+","296","53564.2"
"202606","21","a. avance <10%","257","704234.93"
"202606","21","b. avance 10-40%","589","1011878.18"
"202606","21","c. avance 40-70%","454","378167.55"
"202606","21","d. avance 70%+","323","53519.55"
"202606","23","a. avance <10%","349","943323.06"
"202606","23","b. avance 10-40%","1178","1874293.78"
"202606","23","c. avance 40-70%","801","654475.07"
"202606","23","d. avance 70%+","602","66256.74"
"202606","24","a. avance <10%","259","604664.39"
"202606","24","b. avance 10-40%","617","930824.88"
"202606","24","c. avance 40-70%","419","344144.75"
"202606","24","d. avance 70%+","305","46036.57"
"202606","25","a. avance <10%","214","526555.66"
"202606","25","b. avance 10-40%","531","828671.07"
"202606","25","c. avance 40-70%","360","294154.46"
"202606","25","d. avance 70%+","324","52985.64"
"202606","26","a. avance <10%","464","1537605.87"
"202606","26","b. avance 10-40%","997","1900698.24"
"202606","26","c. avance 40-70%","611","590904.35"
"202606","26","d. avance 70%+","460","84312.56"
"202606","27","a. avance <10%","194","575778.74"
"202606","27","b. avance 10-40%","581","944553.4"
"202606","27","c. avance 40-70%","434","332248.97"
"202606","27","d. avance 70%+","312","48209.67"
"202606","28","a. avance <10%","197","508453.83"
"202606","28","b. avance 10-40%","457","802706.98"
"202606","28","c. avance 40-70%","402","332566.45"
"202606","28","d. avance 70%+","298","42377.97"
"202607","1","a. avance <10%","1340","4632473.48"
"202607","1","b. avance 10-40%","2702","4942185.31"
"202607","1","c. avance 40-70%","1866","1747549.8"
"202607","1","d. avance 70%+","1542","275435.89"
"202607","2","a. avance <10%","489","1430704.94"
"202607","2","b. avance 10-40%","983","1608848.45"
"202607","2","c. avance 40-70%","540","416381.47"
"202607","2","d. avance 70%+","475","100986.31"
"202607","3","a. avance <10%","271","816360.4"
"202607","3","b. avance 10-40%","760","1416799.63"
"202607","3","c. avance 40-70%","456","363743.27"
"202607","3","d. avance 70%+","386","64512.46"
"202607","4","a. avance <10%","227","649858.03"
"202607","4","b. avance 10-40%","528","907213.51"
"202607","4","c. avance 40-70%","391","301615.06"
"202607","4","d. avance 70%+","256","46453.03"
"202607","5","a. avance <10%","253","836678.6"
"202607","5","b. avance 10-40%","682","1156691.08"
"202607","5","c. avance 40-70%","415","330939.66"
"202607","5","d. avance 70%+","344","43981.26"
"202607","7","a. avance <10%","582","1842030.36"
"202607","7","b. avance 10-40%","1511","2765925.58"
"202607","7","c. avance 40-70%","935","845170.2"
"202607","7","d. avance 70%+","842","125106.59"
"202607","8","a. avance <10%","217","531703.12"
"202607","8","b. avance 10-40%","613","1073660.53"
"202607","8","c. avance 40-70%","415","305151.91"
"202607","8","d. avance 70%+","306","52716.58"
"202607","9","a. avance <10%","226","592175.27"
"202607","9","b. avance 10-40%","617","1007517.3"
"202607","9","c. avance 40-70%","443","351590.43"
"202607","9","d. avance 70%+","294","45472.56"
"202607","10","a. avance <10%","229","569374.56"
"202607","10","b. avance 10-40%","686","1091072.98"
"202607","10","c. avance 40-70%","444","293062.44"
"202607","10","d. avance 70%+","309","44264.73"
"202607","11","a. avance <10%","254","718516.32"
"202607","11","b. avance 10-40%","570","957774.61"
"202607","11","c. avance 40-70%","445","346038.14"
"202607","11","d. avance 70%+","304","41014.07"
"202607","12","a. avance <10%","188","488888.49"
"202607","12","b. avance 10-40%","535","888900.67"
"202607","12","c. avance 40-70%","378","287248.05"
"202607","12","d. avance 70%+","299","49496.21"
"202607","14","a. avance <10%","520","1236543.3"
"202607","14","b. avance 10-40%","994","1567776.77"
"202607","14","c. avance 40-70%","648","492422.92"
"202607","14","d. avance 70%+","515","85500.48"
"202607","15","a. avance <10%","214","523046.21"
"202607","15","b. avance 10-40%","517","809526.85"
"202607","15","c. avance 40-70%","350","284894.72"
"202607","15","d. avance 70%+","265","42558.34"
"202607","16","a. avance <10%","506","1806593.19"
"202607","16","b. avance 10-40%","1124","2115925.94"
"202607","16","c. avance 40-70%","723","675679.4"
"202607","16","d. avance 70%+","556","100655.47"
"202607","17","a. avance <10%","219","644284.21"
"202607","17","b. avance 10-40%","582","960618.02"
"202607","17","c. avance 40-70%","432","318429.58"
"202607","17","d. avance 70%+","305","48295.34"
"202607","18","a. avance <10%","212","572629.32"
"202607","18","b. avance 10-40%","547","907578.68"
"202607","18","c. avance 40-70%","435","325092.32"
"202607","18","d. avance 70%+","299","37994.37"
"202607","19","a. avance <10%","188","597782.64"
"202607","19","b. avance 10-40%","525","862687.54"
"202607","19","c. avance 40-70%","407","310993.42"
"202607","19","d. avance 70%+","328","45768.05"
"202607","21","a. avance <10%","477","1235602.15"
"202607","21","b. avance 10-40%","1167","1924265.22"
"202607","21","c. avance 40-70%","827","653538.35"
"202607","21","d. avance 70%+","652","110489.13"
"202607","22","a. avance <10%","173","439888.37"
"202607","22","b. avance 10-40%","612","1016076.73"
"202607","22","c. avance 40-70%","415","337728.39"
"202607","22","d. avance 70%+","251","42363.82"
"202607","23","a. avance <10%","208","545131.65"
"202607","23","b. avance 10-40%","530","856100.79"
"202607","23","c. avance 40-70%","420","330532.42"
"202607","23","d. avance 70%+","285","43481.56"
"202607","25","a. avance <10%","388","1092861.51"
"202607","25","b. avance 10-40%","1101","1753843.17"
"202607","25","c. avance 40-70%","817","684689.63"
"202607","25","d. avance 70%+","612","92354.48"
"202607","26","a. avance <10%","456","1610570.2"
"202607","26","b. avance 10-40%","1004","2047868.18"
"202607","26","c. avance 40-70%","640","606533.05"
"202607","26","d. avance 70%+","493","95826.0"
"202607","28","a. avance <10%","424","1245339.37"
"202607","28","b. avance 10-40%","989","1731885.5"
"202607","28","c. avance 40-70%","791","645702.08"
"202607","28","d. avance 70%+","588","82611.1"
"202607","31","a. avance <10%","1432","5006331.22"
"202607","31","b. avance 10-40%","2910","5505475.63"
"202607","31","c. avance 40-70%","2004","1755601.71"
"202607","31","d. avance 70%+","1396","274189.7"
