"mes","id_ihfintech_loan","categoria","origen","saldo"
"agosto","28fe7381-2ae0-4af5-96b6-599926c8bbeb","1. EN AMBOS","nuevos","6212.94"
"agosto","4a02b0e1-673d-4b71-89b8-4d02fed5158f","1. EN AMBOS","nuevos","1038.26"
"agosto","5a2b76dc-d99f-4338-a6f4-21c04f2527bd","1. EN AMBOS","nuevos","87.88"
"agosto","e400afc0-ce4e-4633-ac14-8932eb850cf5","1. EN AMBOS","nuevos","7631.33"
"agosto","2b60c41e-ee5e-45e9-85bb-220947eeaf44","1. EN AMBOS","nuevos","2512.11"
"agosto","4c3ab881-7eae-4f35-b7ed-60289292fcab","1. EN AMBOS","nuevos","362.3"
"agosto","655dd861-e3e4-4bcb-a190-3a7a8646f262","1. EN AMBOS","nuevos","5765.36"
"agosto","e461ebff-50db-4bfc-92ba-6686d6b04327","1. EN AMBOS","nuevos","773.09"
"agosto","34eae748-966f-4a2f-9e0c-71bcec50bb8a","1. EN AMBOS","nuevos","8403.26"
"agosto","610be612-7446-48f2-aceb-7607f13df3f3","1. EN AMBOS","nuevos","3157.5"
"agosto","6bddac06-539a-4c95-9dc5-4c88c207929c","1. EN AMBOS","nuevos","1539.87"
"agosto","e4c540bb-a237-454a-bc42-49fefcdb5d3a","1. EN AMBOS","nuevos","1817.05"
"agosto","3d9ecf57-e6e8-4bd9-8d4b-7d5f08eab545","1. EN AMBOS","nuevos","1113.71"
"agosto","740bfaac-231e-418a-96da-e2b386e1fa21","1. EN AMBOS","nuevos","999.37"
"agosto","6ded5335-4e7d-404e-9ae6-369a86319dcf","1. EN AMBOS","nuevos","1236.64"
"agosto","e6324904-2136-41d6-a0f2-be3a1e39bdbf","1. EN AMBOS","nuevos","1473.72"
"agosto","3f66bdc7-819a-4818-9896-4fd5b149b932","1. EN AMBOS","nuevos","161.83"
"agosto","80e31f0e-66a7-447f-9b00-2a59fffbb14b","1. EN AMBOS","nuevos","554.3"
"agosto","74ef9507-a778-4207-b0a4-eee17b089062","1. EN AMBOS","nuevos","449.83"
"agosto","e94de2d4-186c-4a34-b96f-710c26c5442a","1. EN AMBOS","nuevos","1986.79"
