"mes","id_ihfintech_loan","categoria","origen","saldo"
"julio","c6bc1b62-8bdd-4433-a030-e07e8e8e3c3c","1. EN AMBOS","stock","1531.54"
"julio","06693e1d-9a2c-459f-bb92-b32c97374c60","1. EN AMBOS","nuevos","2437.56"
"julio","b7df36bc-ff2a-4c80-a611-78f7a5bfd212","1. EN AMBOS","nuevos","1509.74"
"julio","055da98e-e0e1-44b2-9564-bdcc336db153","1. EN AMBOS","stock","12426.23"
"julio","d899246b-1720-46c7-adfa-e51facbbf268","1. EN AMBOS","stock","1178.6"
"julio","073319cd-e675-46e7-b681-b0d4802bab25","1. EN AMBOS","nuevos","1375.19"
"julio","bff47eda-e22d-4365-926d-4f54df057639","1. EN AMBOS","nuevos","4072.0"
"julio","517ec861-05ff-4bb4-a1cd-021b0275a48c","1. EN AMBOS","stock","710.1"
"julio","1a4a09a0-c8f8-4018-9853-c017afa23389","1. EN AMBOS","stock","2722.94"
"julio","0e8bcfef-8edf-4d04-8414-1f3a667b8106","1. EN AMBOS","nuevos","917.72"
"julio","bff9272d-1e95-4311-9fa6-9fe5893717fe","1. EN AMBOS","nuevos","294.74"
"julio","5d385368-8a02-4fa1-840a-50c9a7bafcd0","1. EN AMBOS","stock","1673.28"
"julio","7d6a0f0c-4a9b-4068-ae3a-4fb852635719","1. EN AMBOS","stock","911.91"
"julio","1df51ecf-1129-40f1-b0f2-2817b8c704da","1. EN AMBOS","nuevos","829.46"
"julio","c13a5e05-aaa4-4d97-8c93-36581a01cc3a","1. EN AMBOS","nuevos","1709.63"
"julio","ebb3adac-63a6-47a4-87e2-bf33637fbf5a","1. EN AMBOS","stock","455.1"
"julio","6129cd3c-4274-4680-b418-68f428a1ed2a","1. EN AMBOS","stock","681.39"
"julio","1eeadc87-98fc-43c5-ba61-67e2f44e075c","1. EN AMBOS","nuevos","1005.6"
"julio","ca4d3946-fef7-4b29-b922-4ea65b1a54de","1. EN AMBOS","nuevos","783.04"
"julio","4de9a134-572b-45d5-aa63-827898641c66","1. EN AMBOS","stock","1792.97"
"julio","9bf296ce-7ab6-4e95-afeb-ea5e3e387cc7","1. EN AMBOS","stock","5238.02"
"julio","30072d50-2726-4dc5-bc85-078e77d250ed","1. EN AMBOS","nuevos","1500.13"
"julio","d0474cbc-ff1f-48ce-a6ec-53c93ed7e8f0","1. EN AMBOS","nuevos","1986.65"
"julio","dcd60855-cd3b-4751-8d8f-e338ea7f3b9f","1. EN AMBOS","stock","797.69"
"julio","95a9eaae-90aa-4dfb-bffb-7b81e41aaf27","1. EN AMBOS","stock","114.84"
"julio","47cc3df3-37b1-4673-8d3d-822516227996","1. EN AMBOS","nuevos","693.28"
"julio","d4676d0f-c5f0-472f-88b0-3400d5cfcb7a","1. EN AMBOS","nuevos","595.43"
"julio","a9402b4a-61d4-4809-97a6-0e67862d1afc","1. EN AMBOS","stock","6216.0"
"julio","8a2b097c-9629-498f-89b7-4d34c526e016","1. EN AMBOS","stock","2566.82"
"julio","48cfc3b7-37b1-435a-a835-40b13e7672a5","1. EN AMBOS","nuevos","724.41"
"julio","dde20e4e-b7cb-45c4-8ffa-22ad5baf1608","1. EN AMBOS","nuevos","460.35"
"julio","06da320e-22fa-4c1f-8a6e-f4daa7237291","1. EN AMBOS","stock","1790.12"
"julio","dd722bf9-200b-401f-8d2d-df13d3d58040","1. EN AMBOS","stock","960.42"
"julio","4b41a937-be82-4611-8b2b-213a2f81ede5","1. EN AMBOS","nuevos","11023.41"
"julio","e5878523-97bb-4e94-bafd-13aa3a023f33","1. EN AMBOS","nuevos","1415.68"
"julio","5afe9007-edc0-4b42-b0fe-edeeb7a9eb3a","1. EN AMBOS","stock","1206.78"
"julio","b18bbd20-34af-4360-b71f-8e2cd2f4bf44","1. EN AMBOS","stock","822.66"
"julio","4d709075-8c5c-4d4d-b2f2-aeaa88f4dbd7","1. EN AMBOS","nuevos","1282.79"
"julio","e76a6966-d96e-4165-a934-5d58d7c7839e","1. EN AMBOS","nuevos","952.75"
"julio","1ec911ea-3f79-4ec0-9ba3-9eaa05b021f9","1. EN AMBOS","stock","6794.46"
"julio","01f8768c-3cee-43e9-9821-82107e6165d9","1. EN AMBOS","nuevos","1649.82"
"julio","5019513c-143f-454c-b022-1b2d04b8ad87","1. EN AMBOS","nuevos","1087.31"
"julio","efbb1763-68bf-49ed-9d7b-aaee46ecac72","1. EN AMBOS","nuevos","736.74"
"julio","5325d9c0-0e8b-466a-8211-effcd9299f83","1. EN AMBOS","stock","793.02"
"julio","06caeb55-e3dd-48ce-a752-03a467cad9e7","1. EN AMBOS","nuevos","2323.28"
"julio","50e37546-bad7-476e-9378-90bb7fa62490","1. EN AMBOS","nuevos","1306.51"
"julio","f5b59419-12ce-414c-8624-b2974fd025a1","1. EN AMBOS","nuevos","3359.4"
"julio","270779bb-d959-4d39-9ae7-5e2c69b19c31","1. EN AMBOS","stock","2236.36"
"julio","08fc6efa-bfb7-4b63-938e-e903baa0d998","1. EN AMBOS","nuevos","203.03"
"julio","511e9b12-5de2-44b9-9c34-25b6a81638c0","1. EN AMBOS","nuevos","4044.03"
"julio","a6a550a2-3941-4d39-81d7-93b8c48018f9","1. EN AMBOS","stock","2772.9"
"julio","ff700a61-660e-4f1f-90f2-2d3b6f711415","1. EN AMBOS","stock","1974.22"
"julio","0e123ff7-45e7-46ce-a45e-8b6f7afad450","1. EN AMBOS","nuevos","5669.08"
"julio","53f798ab-ea7a-4db1-bcbd-fa990cff6e6c","1. EN AMBOS","nuevos","273.37"
"julio","053419b4-766d-43d3-aac8-6ebdce901fcb","1. EN AMBOS","stock","81.1"
"julio","b47e9cba-fcef-4a99-891e-d8052f8dce94","1. EN AMBOS","stock","1875.34"
"julio","15ff011c-53ba-4db1-b857-a912f57160d2","1. EN AMBOS","nuevos","547.12"
"julio","58a58df5-4600-4397-aaf8-5023da50b714","1. EN AMBOS","nuevos","3115.05"
"julio","7800f09e-e2b6-438f-8e1a-80fc9659c2e6","1. EN AMBOS","stock","895.29"
"julio","0ea184db-72c8-4b97-a873-2deb81375fea","1. EN AMBOS","nuevos","463.64"
"julio","200f3f89-56dc-4db8-8af4-86682d15347f","1. EN AMBOS","nuevos","1146.2"
"julio","5f962bce-f630-49d6-b5a2-bef09eed4d4a","1. EN AMBOS","nuevos","985.94"
"julio","8bce9eec-7e1d-434d-8f66-668a73ff04eb","1. EN AMBOS","stock","1230.61"
"julio","0f806320-debe-4b57-9ecf-3a0e0f20b4c2","1. EN AMBOS","nuevos","247.39"
"julio","258973f4-75d2-4433-aff9-c08039638b7d","1. EN AMBOS","nuevos","580.83"
"julio","635a396f-f2dd-4c7d-8f13-44bb34dad898","1. EN AMBOS","nuevos","1276.61"
"julio","1c235eb5-0b24-4476-ba10-1c612abc56d0","1. EN AMBOS","stock","606.43"
"julio","12ca545f-ed8e-4675-9d8c-570274fe8cff","1. EN AMBOS","nuevos","983.35"
