"id_ihfintech_loan","origen","saldo","fecha_entrada","fecha_salida","dias_hasta_pago"
"13eebec9-2c80-496d-8e87-f2c35e3e94e1","b. nuevos","590.26","20260823",,
"1415b64a-5cc1-412b-960a-d21ae72b4f96","b. nuevos","2170.57","20260823",,
"15f06b38-2cc6-49d6-8942-0272c6ce5c3f","b. nuevos","664.58","20260823",,
"1732c16f-e081-4f88-b55e-dd09621fc0e3","b. nuevos","2166.95","20260823",,
"1825b1ee-a93c-4b93-bf0c-a39a97ea7672","b. nuevos","2096.87","20260823",,
"1bf211fd-ca13-43aa-8780-5eee4db3a4fa","b. nuevos","2105.0","20260823",,
"1c7ff80f-d9b7-43cd-b774-87586c2f7cf8","b. nuevos","729.06","20260823",,
"1ea4c8c2-648f-4b27-9b08-d032aa087719","b. nuevos","4192.55","20260823",,
"1ee90cca-8858-4ab9-ba1b-8459090b465a","b. nuevos","535.42","20260823",,
"1f8780ad-1f54-4c97-8108-9b5d0d8a3ace","b. nuevos","1724.48","20260823",,
"21603573-b994-494a-b69e-7236b00fe9f4","b. nuevos","815.33","20260823",,
"22afd79f-d099-4838-8aa7-1f9869a3ed8a","b. nuevos","816.53","20260823",,
"23faaaa0-0094-4d02-9cdc-7df3a08d6d8a","b. nuevos","646.85","20260823",,
"266cbb76-f7b4-4484-a12f-45007ef23006","b. nuevos","315.74","20260823",,
"27b4da24-2e92-4f2e-9aa1-6140de1dbb7b","b. nuevos","489.77","20260823",,
"29adbf70-ea0d-49ba-9ead-96e65347f31d","b. nuevos","286.52","20260823",,
"2adc4233-062d-4519-808e-6fb1db992dc4","b. nuevos","1600.47","20260823",,
"2bcd5e0a-ef4e-4278-afc4-c8993c6f791b","b. nuevos","782.67","20260823",,
"2dc184fd-5356-4472-ac8f-c9a726c54768","b. nuevos","7172.74","20260823",,
"2e207fb5-6fe0-4b61-86b8-abac58b64a45","b. nuevos","1035.64","20260823",,
"2e631630-db57-4a49-907d-390b564ca952","b. nuevos","911.9","20260823",,
"30d8e374-7eb6-425f-9d8d-5e2a61752548","b. nuevos","1115.07","20260823",,
"323ba784-76e0-4464-a91b-82616001afe5","b. nuevos","3126.07","20260823",,
"35fa4f5d-56c6-4f6f-bc62-c4e0ea74fc07","b. nuevos","1415.6","20260823",,
"3719d7e6-2dc7-4555-882a-89a9fb1f6a7e","b. nuevos","1070.11","20260823",,
"37e7256c-cea1-4146-96ab-58a1a7804eb0","b. nuevos","3662.4","20260823",,
"39c8a1c3-7fac-4128-a2df-d5f63cf2b716","b. nuevos","470.11","20260823",,
"3a112268-9fd5-4d3c-87b0-01481c09268d","b. nuevos","86.58","20260823",,
"3b61ac2a-5b62-4b67-9150-ddcfa30c46d0","b. nuevos","676.52","20260823",,
"3dfcdc30-2ba0-49f0-9edb-ce213e431a20","b. nuevos","1280.64","20260823",,
"3f562638-3ac4-479e-89ff-42486e1b4a06","b. nuevos","652.78","20260823",,
"3f912c31-4261-4421-9815-ce83445a0be6","b. nuevos","1205.25","20260823",,
"42f4f219-39a6-40e5-92aa-c305d873ae10","b. nuevos","3563.92","20260823",,
"438735ee-cd1a-483d-8a29-4cde955b3ca1","b. nuevos","743.36","20260823",,
"44deda1e-73fd-4f7a-96e9-a71fb39d5cb1","b. nuevos","805.56","20260823",,
"47f65035-8bac-4fa3-bd41-e1bf1e044694","b. nuevos","3174.64","20260823",,
"4801682c-2da5-4403-b278-ce92012caab6","b. nuevos","2736.81","20260823",,
"48fc2dcb-2789-4238-a1fd-24bd04a4ac69","b. nuevos","603.84","20260823",,
"49d1fdca-86f8-42c1-bdca-db36b66a3959","b. nuevos","2812.67","20260823",,
"4b6faa88-7208-4f32-ab90-5e744ebf050f","b. nuevos","702.56","20260823",,
"4bde1777-47f7-4f62-9134-595ca5a1a101","b. nuevos","213.55","20260823",,
"4de3a120-3612-4587-8408-e0a36348e1d0","b. nuevos","396.74","20260823",,
"4f1d1aa5-8d51-4215-a2dd-95c0d4134b4d","b. nuevos","2018.08","20260823",,
"4fb05786-a1fb-4263-9ee0-d87220de5f76","b. nuevos","499.44","20260823",,
"4fe82fbb-c07b-4188-b8e1-6ab65e011a84","b. nuevos","308.87","20260823",,
"4febb87c-5762-4379-a68a-2ddd5aa3e524","b. nuevos","830.47","20260823",,
"5187628d-9019-4a46-bcd0-f6620253a9fe","b. nuevos","1121.3","20260823",,
"5269182a-cf65-499c-9464-07d81820b95a","b. nuevos","1297.19","20260823",,
"54eb1002-ae30-4673-98e6-f7625bf3b92f","b. nuevos","484.03","20260823",,
"59c3ebde-1052-457f-a1c9-0a5373198944","b. nuevos","1139.26","20260823",,
"5a2040a8-9cb4-47c8-93a6-d77f1b39908f","b. nuevos","570.53","20260823",,
"5a260df5-7496-493f-8371-38809542b274","b. nuevos","1839.12","20260823",,
"5c5f9597-314e-4152-a1af-b0978fe372c2","b. nuevos","1633.36","20260823",,
"5cc2c061-7d56-468c-b709-ee4abb71b0fd","b. nuevos","3572.59","20260823",,
"5d659172-a749-489d-87c4-a93a759cab5b","b. nuevos","2017.03","20260823",,
"5e154f4e-bc4b-4963-8b65-49b01fdc1936","b. nuevos","951.19","20260823",,
"5e3fff34-f3a9-4a8f-a754-1929751fbc4c","b. nuevos","317.84","20260823",,
"5e42b77c-6f67-4ac9-80f2-b72a427e9118","b. nuevos","1367.8","20260823",,
"5faaf898-6135-43bf-8fb8-8ff35a12300e","b. nuevos","1005.02","20260823",,
"60cc8108-8539-44af-978a-46c17ee7a49f","b. nuevos","1408.86","20260823",,
